beta,q,shat,electron_temp_gradient,electron_dens_gradient,deuterium_temp_gradient,kappa,delta,beta_prime,IBMgr,isIBMunstable,run_timestamp
0.013522988,4.547088861,0.483738501,0.965378322,0.514769308,2.406676358,2.9106291584424753,0.6322577954918573,-0.06082182149207875,-0.027106571121963022,False,2026-03-26T11:40:09.169572+00:00
0.004939161,4.28395668,0.725620966,1.368112947,0.879637401,0.83865939,2.783803338366085,0.4472265875599027,-0.019868028033586418,-0.016597291330868767,False,2026-03-26T11:40:09.169572+00:00
0.017041353,4.021865041,0.51694047,1.875173679,0.463481641,0.246072951,1.557266051037887,0.5522936618398357,-0.05234324404937115,-0.051200112070345326,False,2026-03-26T11:40:09.169572+00:00
0.013042171,3.946033005,0.396649538,2.2401359,0.818703161,2.344931636,1.5570685955587513,0.5394450518821348,-0.08251137410520074,-0.062084379107428,False,2026-03-26T11:40:09.169572+00:00
0.008904735,3.31930731,0.756155245,1.210526996,1.115026441,2.660844429,1.8439991496945256,0.36744940761218686,-0.05543722163379789,-0.035254524509668726,False,2026-03-26T11:40:09.169572+00:00
0.005637177,4.695170807,0.397164339,2.131313437,1.125079137,1.945633653,1.0081554499719774,0.32503437468593965,-0.03623623577285267,-0.03693612559671891,False,2026-03-26T11:40:09.169572+00:00
0.011740851,4.775830457,0.636531982,1.419365088,1.018845147,1.227035333,1.6178475354902524,0.30993941445441076,-0.055862308269140994,-0.04025437794977703,False,2026-03-26T11:40:09.169572+00:00
0.002278483,3.353563481,0.563838748,1.949653943,0.793097968,1.0029655,2.903508032927229,0.4945110293327517,-0.010476183911472464,-0.027101473826747907,False,2026-03-26T11:40:09.169572+00:00
0.005463834,4.474976824,0.734547158,1.316610599,0.772275833,1.059703509,2.676409556536959,0.6886204707532881,-0.02175211407015201,-0.0208625936263604,False,2026-03-26T11:40:09.169572+00:00
0.00338726,3.407139891,0.616371655,0.463501502,0.855260863,0.349700974,2.070256514195208,0.679412932558331,-0.008682725749350795,-0.031943235289412404,False,2026-03-26T11:40:09.169572+00:00
0.013502351,3.038900446,0.758614501,1.881960055,1.182179022,1.590390461,1.9709770919149752,0.7231942679712151,-0.08004033103839871,-0.06318830849019344,False,2026-03-26T11:40:09.169572+00:00
0.010332523,4.417772337,0.830550644,2.347819606,0.62942049,2.362062057,2.890253360301577,0.5617042063469851,-0.06268838674091567,-0.02649046575024869,False,2026-03-26T11:40:09.169572+00:00
0.003119991,3.411582136,0.499110487,1.190317411,1.095909868,3.562162755,2.1863483749283277,0.6394755593430345,-0.022144057695732296,-0.028464864005301186,False,2026-03-26T11:40:09.169572+00:00
0.01710525,4.866308768,0.755649682,0.981860812,1.164875854,-0.157827209,2.8857358371374207,0.3852741331309701,-0.054512735953414784,-0.018742934763641875,False,2026-03-26T11:40:09.169572+00:00
0.0044707,3.817533229,0.564519147,0.967966629,0.734338572,1.018687691,2.995763488548241,0.5293062670301312,-0.01570546880447818,-0.020886622189593283,False,2026-03-26T11:40:09.169572+00:00
0.014145723,3.218779331,0.439169993,2.429963122,1.136109833,2.047031795,1.0675293086313924,0.6124386316891035,-0.09695320481712995,-0.08847864125420907,False,2026-03-26T11:40:09.169572+00:00
0.004649174,4.648677428,1.141493404,1.027620371,0.644298213,0.667954891,1.2371212041846937,0.5747677349095648,-0.01407455374980964,-0.021710532683317216,False,2026-03-26T11:40:09.169572+00:00
0.002866465,4.393015133,0.855826977,1.335486107,1.066665227,2.179030609,2.522397675953694,0.37799426129838554,-0.016495296042965138,-0.01499954601786249,False,2026-03-26T11:40:09.169572+00:00
0.004656467,3.09560569,0.515324694,1.908899689,0.822228733,2.041941559,1.252274937986612,0.7333579316375489,-0.02649289176494661,-0.035594565268722976,False,2026-03-26T11:40:09.169572+00:00
0.001308224,4.686038599,1.175515749,0.816245783,1.078121997,0.664118333,1.6836857102371299,0.541370071271809,-0.004832448018682671,-0.019097798792235356,False,2026-03-26T11:40:09.169572+00:00
0.003289677,4.063218262,0.715405852,2.161296469,0.634449077,1.411181053,1.600038579592944,0.756129504943273,-0.016147852263201663,-0.026787960533930365,False,2026-03-26T11:40:09.169572+00:00
0.010058913,3.731329755,0.635375815,1.533809478,1.196877567,1.034429568,2.102090181179446,0.6146752134754033,-0.050650328206363344,-0.03822086830916079,False,2026-03-26T11:40:09.169572+00:00
0.003200849,4.131015036,0.508059029,0.467671816,1.075517878,1.167506234,1.1012395245968736,0.5519317988557184,-0.012355190338404464,-0.016979733552308918,False,2026-03-26T11:40:09.169572+00:00
0.010062066,4.167015122,0.528611648,0.681454223,1.170200648,2.379638884,1.9019407586550752,0.5317930594053781,-0.05552475913171414,-0.04296451485548744,False,2026-03-26T11:40:09.169572+00:00
0.010539188,4.221891052,0.396394214,0.607375248,0.935968864,1.818811431,2.110833124322644,0.4922106271185488,-0.046253460342904465,-0.03184208951949583,False,2026-03-26T11:40:09.169572+00:00
0.012695997,4.432053857,1.048688325,1.416984003,1.02684755,1.519653813,1.2383410486437174,0.7121778990204362,-0.06442039611034872,-0.05211383032417975,False,2026-03-26T11:40:09.169572+00:00
