,q,shat,beta,gamma_exb,electron_dens_gradient,electron_nu,betaprime,electron_temp_gradient,deuterium_temp_gradient,isapar,isbpar,psi_n,shift,delta,deltaprime,kappa,kappaprime,electron_nu.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,betaprime_correct,IBMgr
3958,4.142443192,1.198542265,0.012531509,0.057659756,0.800221805,0.000346015,-0.080038391,1.559828957,1.662555472,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0614521820813265,-0.01828380553427019
3959,4.025368453,1.199398691,0.003128581,0.057288325,0.912954556,0.000362917,-0.094851762,0.462669468,0.200786235,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.007902760579669023,-0.025446721431302638
3960,3.581428155,0.986172629,0.001727173,0.045584775,0.83854129,0.000316778,-0.077138525,2.009642418,2.006426883,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.009994640882261357,-0.027630399089084358
3961,3.939214241,0.468732887,0.000788293,0.046930863,0.877615461,0.00043276,-0.080181887,1.541503615,2.18648317,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.00440180982633042,-0.015342102843114604
3962,3.741030874,0.681203875,0.000817918,0.031832611,1.127766901,0.000462759,-0.063824591,1.772635583,2.160036005,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.005149874054800123,-0.021562090660072874
3963,4.362219963,1.118485029,0.017785444,0.02434643,1.194730096,0.000353568,-0.004090276,2.416755381,2.189578328,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.12640262137748165,-0.0442485861244154
3964,4.167997478,0.377534124,0.00164157,0.059058382,1.006514112,0.000357371,-0.036653842,2.371986441,2.485636711,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.011467164974901845,-0.0106407133900242
3965,4.700033123,1.1136339,0.003133971,0.012326511,0.51347872,0.000489435,-0.087140662,2.020404278,1.804851692,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.015445615740478189,-0.01185537941041038
3966,3.289951826,1.139400093,0.001708525,0.077212224,0.555557848,0.000322455,-0.06071743,0.348200613,0.668091314,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0037034770632441184,-0.04203060334902564
3967,3.121074893,1.057441409,0.012100793,0.016151625,0.479965369,0.000408436,-0.094959713,2.100366397,2.220288645,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.06497375949918358,-0.00985043620378514
3968,4.115284015,1.166986249,0.002154717,0.039697804,0.505903224,0.000507203,-0.012276948,2.347256934,3.061573192,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.014087429051248046,-0.01881299105469006
3969,3.640780289,0.526231554,0.001131464,0.07124721,0.866796504,0.000490163,-0.075640778,2.178172735,2.680700074,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.007591128721910856,-0.018273175179585915
3970,4.675259448,0.797444408,0.013677083,0.079137071,0.506449136,0.000476486,-0.068249239,0.665661236,1.003663808,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03736417020993551,-0.013063114287247596
3971,4.126354643,1.126324853,0.009975196,0.072346507,0.805762445,0.00027746,-0.060177587,0.325405288,0.849552401,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.028338689548933038,-0.011682932965877442
3972,4.64156688,0.375509336,0.001182497,0.080199563,0.452624228,0.000496628,-0.045883923,1.168824758,1.050712749,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0037535072136186693,-0.009762773218332944
3973,3.147757525,0.550664873,0.002303846,0.032486336,0.510379669,0.000482703,-0.01583267,2.267646098,1.942398944,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.012236788117307051,-0.02362468674615684
3974,3.649951142,0.438098532,0.016837578,0.031516612,1.079751832,0.000332207,-0.019232187,0.864307801,1.772874977,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.08234403291394038,-0.026195558605955342
3975,4.025972105,0.802531644,0.003655968,0.06690283,0.591887075,0.00042542,-0.036007619,1.901557747,2.311246712,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.020078739222628806,-0.013269706806285158
3976,4.004852661,0.921528086,0.007392987,0.00647441,0.592000712,0.000510229,-0.076506991,1.484036486,2.122622252,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03607723822545549,-0.011406554991110925
3977,3.658050967,0.492629098,0.00063196,0.058450096,1.061464603,0.000424013,-0.004023631,0.987802676,1.5707593,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0030132160007121777,-0.018902959621184937
3978,3.901410877,0.980515507,0.002488168,0.09337501,1.160845923,0.000377845,-0.04353678,1.790776279,2.515880291,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.016793275371748774,-0.01784788948809845
3979,4.986547086,0.94821905,0.003338345,0.009449785,0.657763482,0.000497838,-0.082632485,2.044056479,1.525822174,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.01654887765988952,-0.009310888962001147
3980,3.161621175,0.903201041,0.008965193,0.072249667,0.489910517,0.000494769,-0.083022475,2.409362367,2.81549375,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05660059205124778,-0.011054536424931231
3981,4.576069387,0.656431709,0.003450691,0.009429683,0.526531794,0.000443706,-0.053678928,0.95576972,0.942748567,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.010351718764966857,-0.011517735034072845
3982,4.177538419,0.322149212,0.013003635,0.02691113,0.983160629,0.000478899,-0.037089024,0.781898675,1.296216835,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05356706061100199,-0.01967993123304772
3983,4.974804438,0.531143829,0.017801962,0.086847644,1.057871507,0.000410035,-0.012858369,2.361447893,2.413284954,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.12469598887517472,-0.042057330990142104
3984,4.694293838,0.903911273,0.010372423,0.044521147,0.812394291,0.000500586,-0.072081445,2.421626381,3.007645647,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.07447065620380236,-0.028785488048581213
3985,4.473196959,0.827565833,0.013718601,0.069534346,0.621123769,0.000298178,-0.05923335,2.068546244,1.851985045,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.07194176974404995,-0.02708831737206484
3986,3.859148754,0.57076175,0.009482648,0.067338431,0.922522326,0.00041826,-0.02760016,0.615895415,1.583120751,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0391297277799846,-0.011975018804508583
3987,4.94310786,0.593455996,0.006269935,0.046181063,1.164147092,0.000459465,-0.01183962,1.266242212,1.35017259,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03152140401289971,-0.01199531617806298
3988,4.737195479,1.133212856,0.008276273,0.094387512,1.037969819,0.000367172,-0.003601988,0.61372324,1.116747783,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.03208931096823974,-0.010804335576427784
3989,4.163312222,0.339376122,0.000830981,0.060213759,1.051593113,0.000279112,-0.014690267,2.069264757,2.512122176,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.005652134599428792,-0.01123667076965461
3990,3.717845138,1.190962573,0.011878177,0.086127996,0.615334454,0.000381691,-0.061574393,1.298914282,1.462986438,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04823623914165307,-0.011648404426172421
3991,4.952068227,1.089228493,0.014164049,0.041820224,0.879404398,0.000398167,-0.048350383,2.358817269,2.456792598,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.09467427937469673,-0.03514874212259535
3992,4.239728306,0.91784398,0.001754952,0.067217076,1.048902956,0.000323374,-0.080417454,0.484657341,0.699555627,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0058606881413565655,-0.019890606468953798
3993,3.854922822,1.080046356,0.005883641,0.033314622,0.676884912,0.000357328,-0.017017564,0.580345371,1.130514704,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.018380871046130877,-0.018493351748552284
3994,3.911452111,0.724537328,0.005387571,0.03997606,0.634506474,0.000376707,-0.006975328,0.720636482,1.437350256,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.01883026175057467,-0.01404057164287818
3995,4.280630059,0.376939805,0.014291165,0.072175469,1.115525261,0.000482431,-0.064358501,0.234049971,0.429313597,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.0420905421858419,-0.015047356260065911
3996,3.320108522,0.710482406,0.008391365,0.021376371,0.746630797,0.000330865,-0.031553641,0.98453289,0.782695977,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.027781967457810575,-0.016753885238759144
3997,4.031512848,0.646660145,0.001240566,0.036233951,0.871820322,0.000489957,-0.075523129,2.222537186,2.945642556,True,True,,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.008730300780684508,-0.01616948935053388
